City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Longyearbyen,SJ,78.2186,15.6401,35.44,69,75,20.71,broken clouds
80,Victor Harbor,AU,-35.5667,138.6167,57.69,91,100,3.4,moderate rain
81,The Pas,CA,53.8251,-101.2541,48.22,81,100,23.02,overcast clouds
82,Victoria,HK,22.2855,114.1577,74.32,51,8,13.0,clear sky
83,Thiruvananthapuram,IN,8.4833,76.9167,78.78,89,20,3.44,mist
84,Hohhot,CN,40.8106,111.6522,32.29,55,0,4.47,clear sky
85,Chuy,UY,-33.6971,-53.4616,56.25,97,100,13.15,overcast clouds
86,Saraland,US,30.8207,-88.0706,84.92,63,7,6.96,clear sky
87,Nemuro,JP,43.3236,145.575,53.87,75,1,12.82,clear sky
88,New Norfolk,AU,-42.7826,147.0587,60.93,62,100,3.36,overcast clouds
89,Houma,US,29.5958,-90.7195,84.0,60,40,9.22,scattered clouds
90,Ponta Do Sol,PT,32.6667,-17.1,70.43,63,3,8.16,clear sky
91,Pemangkat,ID,1.1667,108.9667,76.57,87,100,3.0,overcast clouds
92,Kavieng,PG,-2.5744,150.7967,82.9,69,56,5.57,broken clouds
93,Kahului,US,20.8947,-156.47,91.42,66,40,11.99,scattered clouds
94,Miraflores,MX,19.2167,-98.8083,71.98,69,100,5.55,overcast clouds
95,Peniche,PT,39.3558,-9.3811,63.28,95,1,13.02,clear sky
96,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,81,10,1.9,clear sky
97,Mar Del Plata,AR,-38.0023,-57.5575,59.02,80,0,11.5,clear sky
98,Katsuura,JP,35.1333,140.3,68.4,68,100,15.23,overcast clouds
99,Deputatskiy,RU,69.3,139.9,-1.53,82,19,4.85,few clouds
100,Jaragua Do Sul,BR,-26.4861,-49.0667,71.89,99,96,1.45,overcast clouds
101,Lacolle,CA,45.0834,-73.3659,58.08,67,95,4.56,overcast clouds
102,Kavaratti,IN,10.5669,72.642,80.1,79,96,7.65,overcast clouds
103,Mandalgovi,MN,45.7625,106.2708,32.92,61,49,15.21,scattered clouds
104,Aripuana,BR,-9.1667,-60.6333,81.48,63,81,1.63,broken clouds
105,Ossora,RU,59.2353,163.0719,38.32,89,100,18.28,light rain
106,Alice Springs,AU,-23.7,133.8833,78.35,14,6,18.41,clear sky
107,Barao De Melgaco,BR,-16.1944,-55.9675,82.27,59,23,3.38,few clouds
108,Teguldet,RU,57.3064,88.1667,41.07,92,93,6.55,overcast clouds
109,Laguna,US,38.421,-121.4238,92.32,32,0,5.75,clear sky
110,Fort Dodge,US,42.4975,-94.168,78.55,50,0,21.85,clear sky
111,Offenburg,DE,48.4833,7.9333,55.26,83,100,5.75,overcast clouds
112,Ngama,TD,11.7833,17.1667,81.03,65,13,8.77,light rain
113,Guangyuan,CN,32.442,105.823,56.68,83,99,2.17,light rain
114,Vaitape,PF,-16.5167,-151.75,77.59,78,51,16.91,moderate rain
115,Cidreira,BR,-30.1811,-50.2056,64.4,98,100,6.04,overcast clouds
116,Ribeira Grande,PT,38.5167,-28.7,69.78,89,38,1.99,scattered clouds
117,Tuatapere,NZ,-46.1333,167.6833,50.67,52,65,2.17,broken clouds
118,Virginia Beach,US,36.8529,-75.978,66.02,72,75,4.61,broken clouds
119,Bowen,AU,-20.0167,148.2333,75.83,66,47,18.34,scattered clouds
120,Mahebourg,MU,-20.4081,57.7,70.09,78,40,8.05,scattered clouds
121,Hobart,AU,-42.8794,147.3294,61.27,76,100,4.61,overcast clouds
122,Albany,US,42.6001,-73.9662,62.89,73,2,3.74,clear sky
123,Gejiu,CN,23.306,103.1635,50.18,93,100,3.29,overcast clouds
124,Itajobi,BR,-21.3181,-49.0544,79.86,43,100,2.73,overcast clouds
125,Karatau,KZ,43.1667,70.4667,44.71,35,0,2.01,clear sky
126,Kandrian,PG,-6.2167,149.55,81.7,70,90,6.71,overcast clouds
127,Arraial Do Cabo,BR,-22.9661,-42.0278,72.25,84,53,27.83,broken clouds
128,Lander,US,42.833,-108.7307,61.11,45,0,3.44,clear sky
129,Talakan,RU,50.3167,130.3667,32.36,84,0,1.48,clear sky
130,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,72,0,10.36,clear sky
131,Barra Do Garcas,BR,-15.89,-52.2567,85.28,32,80,3.47,moderate rain
132,Pangnirtung,CA,66.1451,-65.7125,23.0,80,20,8.05,few clouds
133,Ilulissat,GL,69.2167,-51.1,21.45,75,100,3.53,overcast clouds
134,Litovko,RU,49.2361,135.1742,36.86,89,70,1.19,broken clouds
135,Cape Town,ZA,-33.9258,18.4232,64.09,85,75,12.66,broken clouds
136,Faanui,PF,-16.4833,-151.75,77.63,78,51,16.98,moderate rain
137,Santa Cruz De La Palma,ES,28.6835,-17.7642,71.74,64,0,10.36,clear sky
138,Along,IN,28.1667,94.7667,69.84,100,100,0.31,overcast clouds
139,Aguimes,ES,27.9054,-15.4461,69.66,78,40,16.11,scattered clouds
140,Tarbagatay,RU,51.4803,107.3602,22.53,91,42,4.56,scattered clouds
141,Magdagachi,RU,53.45,125.8,30.04,82,39,2.68,scattered clouds
142,Talaya,RU,61.3833,152.75,0.72,100,100,1.43,overcast clouds
143,Dikson,RU,73.5069,80.5464,31.93,97,100,5.3,overcast clouds
144,Lima,PE,-12.0432,-77.0282,61.05,72,20,17.27,few clouds
145,Kasongo-Lunda,CD,-6.4667,16.8167,71.28,81,74,2.53,broken clouds
146,Mogzon,RU,51.7435,111.9606,32.52,91,23,8.79,few clouds
147,Pisco,PE,-13.7,-76.2167,65.01,68,0,19.57,clear sky
148,Vangaindrano,MG,-23.35,47.6,69.1,85,71,6.31,broken clouds
149,Karratha,AU,-20.7377,116.8463,72.39,35,0,14.56,clear sky
150,Senador Jose Porfirio,BR,-2.5908,-51.9542,82.29,65,93,2.13,overcast clouds
151,Korcula,HR,42.9622,17.1369,68.56,66,62,3.78,broken clouds
152,Koslan,RU,63.4564,48.8989,39.67,96,31,5.1,scattered clouds
153,Cap-Aux-Meules,CA,47.3821,-61.8597,50.02,62,20,13.8,few clouds
154,Bredasdorp,ZA,-34.5322,20.0403,58.78,96,100,0.89,overcast clouds
155,General Roca,AR,-39.0333,-67.5833,68.63,25,98,25.17,overcast clouds
156,Muravlenko,RU,63.7898,74.523,37.74,90,100,15.79,overcast clouds
157,Barrow,US,71.2906,-156.7887,30.22,86,75,25.32,broken clouds
158,Bandarbeyla,SO,9.4942,50.8122,76.91,87,21,14.05,few clouds
159,Boyuibe,BO,-20.4167,-63.2833,66.67,46,0,6.93,clear sky
160,Chokurdakh,RU,70.6333,147.9167,9.91,85,85,9.17,overcast clouds
161,Tonantins,BR,-2.8731,-67.8022,75.79,97,99,3.56,heavy intensity rain
162,Dolinsk,RU,47.35,142.8,46.56,85,100,8.48,overcast clouds
163,Ixtapa,MX,20.7,-105.2,88.23,74,0,11.5,clear sky
164,Gizo,SB,-8.103,156.8419,83.19,72,15,5.3,few clouds
165,Lodja,CD,-3.4833,23.4333,67.44,94,49,1.19,scattered clouds
166,Flagstaff,US,35.1981,-111.6513,71.53,46,100,5.75,overcast clouds
167,Busselton,AU,-33.65,115.3333,52.2,64,98,10.22,overcast clouds
168,Hasaki,JP,35.7333,140.8333,63.0,66,100,19.44,overcast clouds
169,Ahuimanu,US,21.4447,-157.8378,86.61,73,75,9.22,broken clouds
170,Pontianak,ID,-0.0333,109.3333,75.18,100,40,2.3,mist
171,Hondo,JP,32.45,130.2,63.48,67,99,11.63,overcast clouds
